TIPO,ANO,MES,PERIODO,CA,DESCRICAO,ACTIVE
RENT,2026,01,202601,211007462,LEASEPLAN - JAN - 2026,1
RENT,2026,02,202602,211007463,LEASEPLAN - FEV - 2026,1
EXTRA,2026,,,211007548,LEASEPLAN EXTRAS - 2026,1
RENT,2026,03,202603,211007614,LEASEPLAN - MAR - 2026,1
RENT,2026,04,202604,211007615,LEASEPLAN - ABR - 2026,1
RENT,2026,05,202605,211007616,LEASEPLAN - MAI - 2026,1
RENT,2026,06,202606,211007617,LEASEPLAN - JUN - 2026,1
RENT,2026,07,202607,211007618,LEASEPLAN - JUL - 2026,1
RENT,2026,08,202608,211007619,LEASEPLAN - AGO - 2026,1
RENT,2026,09,202609,211007620,LEASEPLAN - SET - 2026,1
RENT,2026,10,202610,211007621,LEASEPLAN - OUT - 2026,1
RENT,2026,11,202611,211007622,LEASEPLAN - NOV - 2026,1
RENT,2026,12,202612,211007623,LEASEPLAN - DEZ - 2026,1
