description,fuel_type,produit,prodfourn,unite,f,s,compte,ana1,project,resno,ana4,ana5,dep,interco,ct,st,t,active
74-ZL-81,gasoleo,CARBURANT,CARBURANT,US,U,F,62422000,9,DO5015,DEP1000,616220,74-ZL-81,5015,9,GA,,D,1
77-ZX-36,gasoleo,CARBURANT_PERS,CARBURANT_PERS,US,U,F,62422000,9,DO5000-4000,7554,620616,77-ZX-36,5011,9,GA,,D,1
AA-75-AJ,gasoleo,CARBURANT,CARBURANT,US,U,F,62422000,9,DO5015,DEP5015,616220,AA-75-AJ,5015,9,GA,,D,1
AX-06-SZ,gasoleo,CARBURANT_PERS,CARBURANT_PERS,US,U,F,62422000,9,DO5015,DEP0100,616220,AX-06-SZ,5015,9,GA,,D,1
BA-21-FV,gasoleo,CARBURANT_PERS,CARBURANT_PERS,US,U,F,62422000,9,DO5015,9213,616220,BA-21-FV,5015,9,GA,,D,1
BF-68-TL,gasolina,CARBURANT_G,CARBURANT_G,US,U,F,62421000,9,DO5000-7000,6587,620616,BF-68-TL,5011,9,NG,,D,1
BG-01-MN,gasolina,CARBURANT_G,CARBURANT_G,US,U,F,62421000,9,DO5010,5933,620616,BG-01-MN,5011,9,NG,,D,1
BG-02-MN,gasolina,CARBURANT_G,CARBURANT_G,US,U,F,62421000,9,DO5010,1724,620616,BG-02-MN,5011,9,NG,,D,1
BG-06-PM,gasolina,CARBURANT_G,CARBURANT_G,US,U,F,62421000,9,DO5010,9154,620616,BG-06-PM,5011,9,NG,,D,1
BG-76-MM,gasolina,CARBURANT_G,CARBURANT_G,US,U,F,62421000,9,DO5010,1763,620616,BG-76-MM,5011,9,NG,,D,1
BG-84-MM,gasolina,CARBURANT_G,CARBURANT_G,US,U,F,62421000,9,DO5010,8869,620616,BG-84-MM,5011,9,NG,,D,1
BG-93-MM,gasolina,CARBURANT_G,CARBURANT_G,US,U,F,62421000,9,DO5010,8464,620616,BG-93-MM,5011,9,NG,,D,1
BM-49-CR,gasolina,CARBURANT_G,CARBURANT_G,US,U,F,62421000,9,DO5000-7000,6855,620616,BM-49-CR,5011,9,NG,,D,1
BT-42-CJ,gasolina,CARBURANT_G,CARBURANT_G,US,U,F,62421000,9,DO5000-4000,9214,620616,BT-42-CJ,5011,9,NG,,D,1
CB-99-TU,gasolina,CARBURANT_G,CARBURANT_G,US,U,F,62421000,9,DO5000-4000,7554,616220,CB-99-TU,5011,9,NG,,D,1
CE-96-AT,gasolina,CARBURANT_G,CARBURANT_G,US,U,F,62422000,9,DO5000-4000,DEP5015,616220,CE-96-AT,5015,9,NG,,D,1
AX-06-SZ,anuidade,ENTRETIEN,ENTRETIEN,US,U,F,62260300,9,DO5015,DEP1000,616220,AX-06-SZ,5015,9,NV,,D,1
