description,produit,prodfourn,unite,compte,ana1,project,resno,ana4,ana5,dep,interco,ct,st,t,active
,,,,,,,,,,,,,,,1
74-ZL-81,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5015,DEP1000,616220,74-ZL-81,5015,9,NV,,D,1
77-ZX-36,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5000-4000,7554,620616,77-ZX-36,5011,9,NV,,D,1
AA-75-AJ,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5015,DEP5015,616220,AA-75-AJ,5015,9,NV,,D,1
AX-06-SZ,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5015,DEP0100,616220,AX-06-SZ,5015,9,NV,,D,1
BA-21-FV,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5015,9213,616220,BA-21-FV,5015,9,NV,,D,1
BB-78-JG,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5000-4000,8642,620616,BB-78-JG,5011,9,NV,,D,1
BC-35-EJ,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5015,DEP5015,616220,BC-35-EJ,5015,9,NV,,D,1
BD-61-ZH,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5010,1642,620616,BD-61-ZH,5011,9,NV,,D,1
BF-68-TL,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5000-7000,6587,620616,BF-68-TL,5011,9,NV,,D,1
BG-01-MN,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5010,5933,620616,BG-01-MN,5011,9,NV,,D,1
BG-02-MN,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5010,1724,620616,BG-02-MN,5011,9,NV,,D,1
BG-06-PM,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5010,9154,620616,BG-06-PM,5011,9,NV,,D,1
BG-76-MM,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5010,1763,620616,BG-76-MM,5011,9,NV,,D,1
BG-84-MM,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5010,8869,620616,BG-84-MM,5011,9,NV,,D,1
BG-93-MM,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5010,8464,620616,BG-93-MM,5011,9,NV,,D,1
BM-49-CR,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5000-7000,6855,620616,BM-49-CR,5011,9,NV,,D,1
BT-42-CJ,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5010,9214,620616,BT-42-CJ,5011,9,NV,,D,1
CB-99-TU,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO7300,7554,620616,CB-99-TU,5011,9,NV,,D,1
CE-96-AT,PEAGE_NAT,PEAGE_NAT,US,62510200,NV1,DO5015,DEP5015,616220,CE-96-AT,5015,9,NV,,D,1
